id,titulo,subtitular
010222nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso"
010322nacional,campeon historico,los toros suman su primer titulo de liga nacional
010322occidente,invierten en obras,cuatro comunidades de san pedro sacatepequez se beneficiaran con los trabajos
010322centro,abarrotan balneario,los aposentos recibe a cientos de chimaltecos y visitantes el fin de semana
010322sur,caen en hondonada,percance vial en santa maria el naranjo coatepeque deja un fallecido y a un joven lesionado
010322norte,aumenta turismo,comercio mejora ventas en el malecon san andres
010322oriente,refugio de indigentes,personas aprovechan antigua carcel y sede de diprona que esta abandonada en zacapa
010322guate,piden paciencia,"el trafico se complica mientras avanza la construccion de paso a desnivel en san miguel petapa, donde agentes regulan el paso"
010422nacional,arde ensambladora,se destruyen miles de motos en amatitlan
010422occidente,"hasta siempre, tico","conmocion en marquense por la muerte de marcos menaldo, aparentemente por paro cardiaco"
010422centro,mejoran empedrado,comuna antiguena sugiere hacer uso de vias alternas por trabajos en la 4a. calle oriente de la 1a. a la 4a. avenida
010422sur,reciben a sus heroes,aficion celebra el primer titulo de liga nacional de malacateco
010422norte,operativos contra maleantes,"agentes han hecho capturas e incautado droga, en flores"
010422oriente,atacado en su casa,"delincuentes machetean a juan felipe cuando descansaba, en quezaltepeque"
010422guate,quedan heridos,"brindan asistencia a victimas de accidente de transito en el canton las quebraditas, de san pedro ayampuc"
010522nacional,balean albaniles,"sicarios los esperaban en esquina del centro de gualan, zacapa"
010522occidente,exigen boleto de ornato,"largas filas en huehuetenango para pagar arbitrio, que es obligatorio para tramites"
010522centro,asumen cargo,"autoridades indigenas de sacala las lomas, san martin julotepeque, mediaran en conflictos"
010522sur,comienzan inscripciones,mayoria de planteles privados de jalapa empezaran clases el 17 de enero en modalidad virtual
010522norte,sube el maiz,"comerciantes preven baja en las ventas y escasez del grano, en flores"
010522oriente,aplican refuerzo,vecinos comienzan a recibir tercera dosis de vacuna anticovid-19 en zacapa
010522guate,pierde el ojo,"victima de explosion queda internada en centro asistencial capitalino, en donde se preve que sea intervenido quirugicamente"
010622nacional,feliz dia de reyes,-
010622occidente,despiden a menaldo,"marcos visito por ultima vez el marquesa de la ensenada, su casa deportiva"
010622centro,obra inconclusa,"buscan recuperar hospital materno infantil abandonado hace 12 anos, en san martin jilotepeque"
010622sur,arrollan a fotografo,vehiculo deja lesionado a victor salas en la zona 2 de coatepeque
010622norte,comienzan festejos,"catolicos participan en bajada del cristo negro, previo a la feria patronal, en flores"
010622oriente,usan vias alternas,"cambio de tuberias en la calzada de los ganaderos, zacapa, durara dos meses"
010622guate,atacados a balazos,"con multiples impactos, desconocidos le arrebatan la vida a un joven que compartia con amigos en la zona 5 capitalina"
010722nacional,mueren madre e hijo,picop impacta contra camion en chiquimula
010722occidente,aplican refuerzos,reducen intervalos entre segunda y tercera dosis contra el covid en san cristobal totonicapan
010722centro,asumen lideres comunitarios,juramentan a alcaldes auxiliares de 85 comunidades de tecpan guatemala
010722sur,machetean a campesino,desconocidos sale al paso de victima y la hieren en la cabeza en nuevo chuatuj coatepeque
010722norte,alza en la canasta basica,comerciantes se quejan en el mercado central de los amates
010722oriente,retoman estudios,centros educativos privados de zacapa comenzaran clases la proxima semana
010722guate,agradecen proteccion,"autoridades y vecinos ruegan por sabiduria y bendiciones ante los cristos de coronacion y san bernardo, en san pedro sacatepequez"
010822nacional,balean a policias,nuevo ataque contra fuerzas de seguridad deja un agente muerto y 27 heridos
010822occidente,llegan insumos al sistema de salud,autoridade preven enfrentar aumento de contagios por covid-19 en totonicapan
010822guate,muere a balazos,"conductor de tuctuc fue atacado por hombres que se hicieron pasar por pasajeros en cipresales, zona 6 capitalina"
010922nacional,acribillado,persiguen a mototaxista en la avenida juan chapin en la capital
011022nacional,masacre en mercado,matan a cuatro comerciantes y hieren a otro en chimaltenango
011022occidente,investigan obra,"vecinos temen que alcaldia este vendiendo bienes municipales, en comitancillo"
011022centro,regularan ruido,transito de jocotenango busca reducir contaminacion auditiva
011022sur,arrollan a predicador,septuagenario herido caminaba a orillas de la carretera al pacifico en colombia
011022norte,asistencia masiva,"habilitan centros de vacunacion en san francisco peten, para dosis de refuerzo contra el covid-19"
011022oriente,peligro en cruce,temen por semaforo en mal estado en la zona 4 en chiquimula
011022guate,empieza obra,en la calle y avenida petapa construyen un paso a desnivel que pretende agilizar el transito en el sur de la ciudad
011122nacional,llevaban droga y balas de fusil,capturan a mareros cerca del centro preventivo de la zona 18 de la capital
011122occidente,reparan centros educativos,"se preparan para empezar el ciclo escolar, en san marcos"
011122centro,cobran nueva tarifa,aplican reglamento para hacer uso de la via publica en la antigua guatemala
011122sur,exigen seguridad,asesinato de chofer en la zona 2 causa zozobra en coatepeque
011122norte,rechazan seguro,transportistas peteneros buscan que se derogue acuerdo y advierten de paro nacional
011122oriente,delimitan espacios,ordenan area comercial por la feria de esquipulas
011122guate,queda herido,"desconocidos atacan a balazos a joven que compraba comida en la colonia castillo lara, zona 7 capitalina"
