Texto_Relevancia,Texto_Impacto,Texto_Rigor_Etica_Profesional,Texto_Coyuntura,Texto_Penetracion,Fotografia_Impacto,Fotografia_Variedad_Fotos,Fotografia_Composicion,Fotografia_Comunica,Fotografia_Puesta_En_Pagina_Fotos,PeriodicosID,Fecha,Ventas,Calificacion_avg,envio_total,cobrable,devuelto,vendido
7,7,8,9,6,9,8,8,7,7,1,27/10/22,"Q249,204.00",7.6,92586,90074,7006,83068
9,8,8,10,9,9,7,7,8,9,1,27/10/22,"Q249,204.00",8.4,92586,90074,7006,83068
7,6,5,6,7,9,10,9,9,9,1,27/10/22,"Q249,204.00",7.7,92586,90074,7006,83068
5,4,4,5,9,10,10,9,10,10,1,27/10/22,"Q249,204.00",7.6,92586,90074,7006,83068
8,8,7,8,9,9,6,7,6,7,1,27/10/22,"Q249,204.00",7.5,92586,90074,7006,83068
8,7,8,8,8,7,8,8,7,8,1,27/10/22,"Q249,204.00",7.7,92586,90074,7006,83068
5,5,5,4,3,4,3,5,5,3,1,27/10/22,"Q249,204.00",4.2,92586,90074,7006,83068
7,6,10,8,8,9,8,10,10,9,1,27/10/22,"Q249,204.00",8.5,92586,90074,7006,83068
5,7,10,7,8,10,10,10,10,10,1,27/10/22,"Q249,204.00",8.7,92586,90074,7006,83068
7,8,9,8,7,8,7,8,7.6,7.6,1,27/10/22,"Q249,204.00",7.72,92586,90074,7006,83068
8,8,8,9,8,8,7,7,7,8,1,27/10/22,"Q249,204.00",7.8,92586,90074,7006,83068
10,10,10,10,10,10,10,10,10,10,1,27/10/22,"Q249,204.00",10,92586,90074,7006,83068
10,10,10,10,10,10,10,10,10,10,1,27/10/22,"Q249,204.00",10,92586,90074,7006,83068
9,9,9,9,9,9,7,7,8,9,1,27/10/22,"Q249,204.00",8.5,92586,90074,7006,83068
10,10,10,10,10,10,10,10,10,10,1,27/10/22,"Q249,204.00",10,92586,90074,7006,83068
10,10,10,9,10,8,10,10,10,9,1,27/10/22,"Q249,204.00",9.6,92586,90074,7006,83068
9,9,6,7,7,9,9,8,8,9,1,27/10/22,"Q249,204.00",8.1,92586,90074,7006,83068
8,9,9,9,9,9,9,9,9,8,1,27/10/22,"Q249,204.00",8.8,92586,90074,7006,83068
10,10,10,10,10,9,10,10,10,10,1,27/10/22,"Q249,204.00",9.9,92586,90074,7006,83068
10,10,10,9,10,10,10,10,9,9,1,27/10/22,"Q249,204.00",9.7,92586,90074,7006,83068
7,7,6,7,7,8,6,7,8,7,1,27/10/22,"Q249,204.00",7,92586,90074,7006,83068
9,8,9,9,9,9,9,9,10,10,1,27/10/22,"Q249,204.00",9.1,92586,90074,7006,83068
8,10,8,10,8,10,10,10,10,9,1,27/10/22,"Q249,204.00",9.3,92586,90074,7006,83068
5,2,6,7,3,7,9,3,2,5,2,26/10/23,"Q182,529.00",4.9,74418,72112,11269,60843
9,3,10,8,6,5,7,6,4,2,2,26/10/23,"Q182,529.00",6,74418,72112,11269,60843
4,6,7,8,10,10,10,8,10,10,2,26/10/23,"Q182,529.00",8.3,74418,72112,11269,60843
5,7,5,8,9,10,5,9,10,8,2,26/10/23,"Q182,529.00",7.6,74418,72112,11269,60843
8,9,9,6,8,9,8,8,9,8,2,26/10/23,"Q182,529.00",8.2,74418,72112,11269,60843
9,9,8,8,9,8,9,8,7,8,2,26/10/23,"Q182,529.00",8.3,74418,72112,11269,60843
