fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
2022-01-02,3.2,0.8,23.2,1310.0,56.52,3.47,4.07,2.5,3.0,0.0,0.8,3.7,1.6,0.6,0.0,0.4,2.1,0.8,4.6,2.2,3.0,1.4,0.2,0.4,7.2,1.8,0.4,0.0,0.2,1.8,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,94993.0,93185.0,11937.0,81248.0
2022-01-03,2.0,3.0,30.0,1740.0,58.0,3.4,4.33,1.75,3.0,0.0,0.0,4.1,2.0,3.0,0.0,2.5,2.0,1.0,5.0,3.0,4.0,1.0,0.0,0.0,10.0,2.0,1.0,0.0,2.0,2.0,2022.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,110810.0,108409.0,6740.0,101669.0
2022-01-04,2.0,3.0,27.0,1700.0,62.96,3.4,3.67,1.75,2.0,0.0,0.0,3.8,0.5,0.0,0.0,0.0,2.5,1.0,5.0,3.0,4.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,97543.0,95151.0,8336.0,86815.0
2022-01-05,2.0,3.0,27.0,1410.0,52.22,5.2,3.67,3.0,5.0,0.0,0.0,3.22,1.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,96234.0,93842.0,14682.0,79160.0
2022-01-06,3.0,2.0,22.0,1250.0,56.82,3.0,4.0,3.33,2.0,0.0,0.0,3.62,1.0,0.0,0.0,0.0,2.5,1.0,5.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,2022.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,96254.0,93851.0,9796.0,84055.0
2022-01-07,3.0,1.0,17.0,980.0,57.65,3.4,4.0,0.0,4.0,0.0,0.0,3.67,1.5,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,98142.0,94139.0,7460.0,86679.0
2022-01-08,5.0,0.0,27.0,1340.0,49.63,4.6,3.67,2.75,3.0,0.0,0.0,4.25,1.5,2.0,0.0,0.0,2.0,1.0,5.0,3.0,4.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,2022.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,103938.0,102049.0,9393.0,92656.0
2022-01-09,3.0,2.0,30.0,1590.0,53.0,3.0,2.8,2.67,2.0,0.0,0.0,3.6,2.5,0.0,0.0,3.0,1.5,1.0,5.0,5.0,3.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,2.0,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,99735.0,97885.0,8923.0,88962.0
2022-01-10,5.0,2.0,31.0,1540.0,49.68,2.8,3.0,2.25,3.5,0.0,0.0,4.73,2.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,0.0,11.0,2.0,1.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,105566.0,103170.0,7036.0,96134.0
2022-01-11,0.0,0.0,1.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,95624.0,93032.0,8174.0,84858.0
2022-01-12,4.0,2.0,28.0,1440.0,51.43,2.83,5.33,2.8,3.0,0.0,0.0,4.12,2.0,2.0,0.0,0.0,2.0,1.0,6.0,3.0,5.0,2.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,2022.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,96641.0,94237.0,10609.0,83628.0
2022-01-13,3.0,2.0,25.0,1270.0,50.8,2.2,2.67,2.0,3.0,0.0,0.0,2.75,0.5,0.0,0.0,0.0,3.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,97767.0,95362.0,8600.0,86762.0
2022-01-14,2.0,2.0,21.0,1130.0,53.81,3.2,3.5,1.0,2.5,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,2022.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,97151.0,94743.0,6747.0,87996.0
2022-01-15,3.0,3.0,26.0,1410.0,54.23,3.5,2.5,3.67,4.0,0.0,0.0,4.22,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,96670.0,93056.0,8522.0,84534.0
2022-01-16,3.4,2.0,24.8,1372.0,55.63,3.44,3.93,2.47,3.6,0.0,0.0,3.69,1.4,1.4,0.0,0.5,1.6,0.6,5.4,3.4,2.6,1.4,0.2,0.0,7.0,1.6,0.8,0.0,0.8,1.6,2022.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,100311.0,98480.0,6831.0,91649.0
2022-01-17,4.0,2.0,29.0,1560.0,53.79,2.83,3.5,3.33,3.0,0.0,0.0,3.78,2.0,0.0,0.0,1.5,2.75,1.0,6.0,2.0,3.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,2.0,4.0,2022.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,105193.0,102795.0,4492.0,98303.0
2022-01-18,4.0,1.0,24.0,1180.0,49.17,3.8,3.4,2.33,3.0,0.0,0.0,3.5,1.0,0.0,0.0,0.0,1.5,1.0,5.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,12.0,101239.0,98770.0,6831.0,91939.0
2022-01-19,5.0,0.0,25.0,1340.0,53.6,3.8,4.33,2.67,3.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,97041.0,94583.0,11466.0,83117.0
