id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
010222nacional,02/01/2022,Sunday,January,2022,nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso",4,0,3,0,0,0,1,0,0,0,0,modelo,1,6,13,94993,93185,11937,81248
010322nacional,03/01/2022,Monday,January,2022,nacional,campeon historico,los toros suman su primer titulo de liga nacional,5,0,1,1,2,1,0,0,0,0,1,deporte,1,2,9,110810,108409,6740,101669
010422nacional,04/01/2022,Tuesday,January,2022,nacional,arde ensambladora,se destruyen miles de motos en amatitlan,4,0,1,0,3,0,0,0,0,0,0,nacionales,1,2,7,97543,95151,8336,86815
010522nacional,05/01/2022,Wednesday,January,2022,nacional,balean albaniles,"sicarios los esperaban en esquina del centro de gualan, zacapa",3,0,2,0,0,0,0,1,0,0,1,modelo,1,2,10,96234,93842,14682,79160
010622nacional,06/01/2022,Thursday,January,2022,nacional,feliz dia de reyes,-,1,0,0,0,0,0,0,1,0,1,0,modelo,1,4,1,96254,93851,9796,84055
010722nacional,07/01/2022,Friday,January,2022,nacional,mueren madre e hijo,picop impacta contra camion en chiquimula,3,0,1,0,1,1,0,0,0,0,1,modelo,1,4,6,98142,94139,7460,86679
010822nacional,08/01/2022,Saturday,January,2022,nacional,balean a policias,nuevo ataque contra fuerzas de seguridad deja un agente muerto y 27 heridos,2,0,1,0,1,0,0,0,0,0,0,internacional,1,3,13,103938,102049,9393,92656
010922nacional,09/01/2022,Sunday,January,2022,nacional,acribillado,persiguen a mototaxista en la avenida juan chapin en la capital,4,0,3,0,0,0,1,0,0,0,0,modelo,1,1,11,99735,97885,8923,88962
011022nacional,10/01/2022,Monday,January,2022,nacional,masacre en mercado,matan a cuatro comerciantes y hieren a otro en chimaltenango,3,0,2,0,0,1,0,0,0,0,1,internacional,1,3,10,105566,103170,7036,96134
011122nacional,11/01/2022,Tuesday,January,2022,nacional,llevaban droga y balas de fusil,capturan a mareros cerca del centro preventivo de la zona 18 de la capital,4,0,1,0,2,0,1,0,0,0,0,internacional,1,6,14,95624,93032,8174,84858
011222nacional,12/01/2022,Wednesday,January,2022,nacional,chocan de frente,conductor de automovil perece en zacapa,4,0,3,0,1,0,0,0,0,0,1,modelo,1,3,6,96641,94237,10609,83628
011322nacional,13/01/2022,Thursday,January,2022,nacional,juegazo,el real elimina al barsa en tiempos extra en la supercopa,4,0,1,1,2,0,0,0,0,1,0,deporte,1,1,11,97767,95362,8600,86762
011422nacional,14/01/2022,Friday,January,2022,nacional,repatrian cuerpos de migrantes,victimas perecieron en accidente en mexico,3,0,1,1,1,0,0,0,0,0,1,deporte,1,4,6,97151,94743,6747,87996
011522nacional,15/01/2022,Saturday,January,2022,nacional,vivos de milagro,desemprendimiento de paredon cae sobre dos albaniles en mixco,4,0,2,0,1,0,1,0,0,0,0,deporte,1,3,9,96670,93056,8522,84534
011622nacional,16/01/2022,Sunday,January,2022,nacional,veneran al cristo negro,fieles hacen romeria a la basilica de esquipulas,4,0,0,0,2,0,2,0,0,0,0,modelo,1,4,8,100311,98480,6831,91649
011722nacional,17/01/2022,Monday,January,2022,nacional,camionetazo,"bus cae en barranco y perecen 5 pasajeros, en sumpango, sacatepequez",3,0,1,1,1,0,0,0,0,0,0,deporte,1,1,11,105193,102795,4492,98303
011822nacional,18/01/2022,Tuesday,January,2022,nacional,abren juicio contra perez y baldetti,exfuncionarios son acusados de recibir sobornos millonarios en el caso la linea,3,1,1,0,1,0,0,0,0,0,1,deporte,1,6,12,101239,98770,6831,91939
