010923occidente,hoy regresan a clases,alumnos se preparan para comenzarr en el ciclo escolar en el sector privado,Educacion,//
010923oriente,agarran al topo,rony carranza de 22 anos fue aprehendido en un operativo policial por ser oresunto asesino de una mujer en diciembre,Comunidades,
010923sur,ya no llego a casa,carnicero del mercado la terminal fallece en choque,Accidentes Viales,
010923norte,peregrinacion cumple 8 anos,garinfulas llegan a la basilica de esquipulas,Religion y Tradicion,
010923guate,caminan juntos,miembros de la cofradia y fieles se reunen en asamblea parroquial para inagurar el trabajo parastoral en las comunidades,Comunidades,
011023nacional,temor en jocotenango,ante los hechos armados la poblacion no quiere salir a las calles incluso los repartidores a domicilio,Comunidades,
011023centro,dirigio la iglesia durante 34 anos,congregacion despide a su pastor y lo califica como un servidor del pueblo,Comunidades,
011023occidente,detectan 60 basureros,trabajadores del tren de aseo limpian pero las personas vuelven a ensuciar,Comunidades,
011023oriente,un perro se le atreveso,keterin mateo de 23 anos se accidento caminando a casa,Accidentes y Tragedias,
011023sur,temen quedar sin paso,riesgo de cierre en ruta alterna tiene en jaque a los vecinos de cinci aldeas,Comunidades,
011023norte,tio y su sobrina mueren en choque,genaro castro de 33 anos jaquelin castro de 22 iban a una finca bananera a trabajar,Accidentes Viales,
011023guate,abundan desechos,se estima que menos del 35 por ciento de la poblacionen este municipio no paga por la extraccion de su basura,Comunidades,
011123nacional,canche heredia amenazaba a una mujer,se busca a hombre que apuntaba con un misil a policias,Seguridad y Bienestar,
011123centro,temen mas ataques armados,vecinos reclaman a las autoridades planes de seguridad para prevenir violencia en sacatepequez,Seguridad y Bienestar,
011123occidente,pavimentacion costara q25 millones,permitira mejor acceso al hospital distrital qye se construye en el canton lan cienaga,Proyectos de Infraestructura,
011123oriente,caminan 14 horas desde el salvador,50 peregrinos guadalupanos llegaron a ver al cristo negro,Religion y Tradicion,
011123sur,150 mil alumnos regresan a clases,autoridades de la dediduc afirman que la matricula escolar para este ano pordria ser mas cara,Educacion,
011123norte,bailan con la chatona,familia berges organiza tradicional recorrido por fiestas patronal en honor al cristo negro de peten,Comunidades,
011123guate,viene mas trafico,-,Comunidades,
011223nacional,marero queria escapar de su pais en caja de muerto,un peligroso pandillero  con tal de no ser descubierto  era transportado hacia guatemala  pero la pnc de el salvador logro su detencion,Internacional,
011223centro,sobrevive a impacto,chofer y copiloto quedab heridos al chocar contra trailer de intercambiadro,Accidentes Viales,
011223occidente,hallan cuerpo de bebe,pobladores presumen que lo abandonaron con vida pero no fue localizado a tiempo,Accidentes y Tragedias,
011223oriente,no vio trailer,luis archila de 27 anos intento cruzar la ruta del atlantico cuando fue arrollado,Accidentes Viales,
011223sur,puente costaria mas de q1 millon,pobladores buscan reunir fondos para construir un nuevo paso en chita,Proyectos de Infraestructura,
