index,fecha,Internacional_count,Nacional_count,Deportes,Economia,Estrellas,Familia,Loteria,Model,Mundo,Noticias,Nuestro Diario,Opinion,Publicidad Externa,Publicidad Interna,Reportajes,Variedades,chipi_x,Deportes_notas,Economia_notas,Estrella_notas,Estrellas_notas,Familia_notas,Loteria_notas,Model_notas,Mundo_nota,Noticias_nota,Opinion_notas,Publicidad_Externa_notas,Publicidad_Interna_notas,Reportajes_notas,Variedades_notas,paginas_totales,proporcion_total,proporcion_ajustada
0,2025-01-03,2,2,32.0,0.0,8.0,4.0,0.0,0.0,3.0,26.0,0.0,2.0,0.0,0.0,0.0,1.0,1,5,0,0,3,3,0,0,1,7,2,0,0,0,1,253,1400,0.1807
1,2025-01-04,3,0,10.0,0.0,10.0,9.0,0.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,0.0,4.0,1,4,0,0,2,2,0,0,0,6,2,3,0,0,1,210,1220,0.1721
2,2025-01-05,6,2,29.0,0.0,13.0,13.0,0.0,0.0,2.0,25.0,0.0,1.0,8.0,1.0,0.0,2.0,0,8,0,0,3,3,0,0,1,7,2,3,1,0,1,435,1720,0.2529
3,2025-01-06,5,1,14.0,0.0,18.0,7.0,0.0,0.0,3.0,21.0,7.0,3.0,0.0,1.0,6.0,5.0,0,6,0,0,4,3,0,0,1,7,2,0,1,2,2,465,1970,0.236
4,2025-01-07,4,1,15.0,0.0,11.0,9.0,0.0,0.0,0.0,20.0,0.0,2.0,5.0,4.0,0.0,2.0,0,5,0,0,2,4,2,0,0,6,2,3,1,0,1,351,1340,0.2619
5,2025-01-08,3,1,14.0,0.0,8.0,8.0,0.0,0.0,3.0,24.0,0.0,3.0,1.0,0.0,0.0,2.0,1,4,0,0,3,3,0,0,1,5,2,1,0,0,1,210,1180,0.178
6,2025-01-09,5,0,20.0,0.0,18.0,13.0,0.0,3.0,0.0,21.0,0.0,5.0,0.0,1.0,0.0,2.0,0,5,0,0,4,3,2,2,0,6,2,0,1,0,1,300,1590,0.1887
7,2025-01-10,3,1,18.0,0.0,9.0,7.0,0.0,4.0,4.0,21.0,0.0,4.0,1.0,2.0,0.0,1.0,1,5,0,0,2,3,1,1,1,5,2,1,1,0,1,253,1220,0.2074
8,2025-01-11,4,1,21.0,0.0,7.0,8.0,0.0,0.0,8.0,18.0,0.0,1.0,21.0,0.0,0.0,5.0,1,5,0,2,0,2,0,0,2,4,2,9,0,0,2,406,1810,0.2243
9,2025-01-12,4,1,14.0,5.0,5.0,0.0,0.0,0.0,6.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,0,5,2,0,2,0,0,0,2,4,2,5,0,0,0,253,1090,0.2321
10,2025-01-13,4,2,18.0,0.0,7.0,14.0,0.0,0.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,17.0,0,6,0,0,2,4,1,0,0,7,2,2,0,0,4,406,1650,0.2461
11,2025-01-14,6,2,29.0,0.0,6.0,9.0,0.0,0.0,5.0,22.0,0.0,5.0,15.0,2.0,0.0,1.0,0,8,0,0,2,3,0,0,2,6,2,8,1,0,1,561,1940,0.2892
12,2025-01-15,2,2,6.0,0.0,8.0,8.0,0.0,0.0,3.0,21.0,0.0,2.0,6.0,1.0,0.0,2.0,1,4,0,0,3,2,0,0,1,6,2,4,1,0,1,300,1550,0.1935
13,2025-01-16,2,2,20.0,0.0,20.0,9.0,0.0,2.0,3.0,22.0,0.0,3.0,6.0,1.0,0.0,1.0,0,5,0,0,4,3,0,0,1,6,2,5,1,0,1,465,1960,0.2372
14,2025-01-17,3,3,24.0,0.0,9.0,8.0,0.0,0.0,3.0,33.0,0.0,3.0,7.0,1.0,0.0,1.0,1,6,0,0,2,2,0,0,1,7,2,3,1,0,1,325,1550,0.2097
15,2025-01-18,3,1,16.0,0.0,7.0,7.0,0.0,0.0,0.0,22.0,0.0,3.0,19.0,0.0,0.0,2.0,1,4,0,0,2,2,0,0,0,6,2,6,0,0,1,276,1450,0.1903
16,2025-01-19,2,2,19.0,0.0,9.0,2.0,0.0,0.0,2.0,34.0,0.0,2.0,0.0,1.0,0.0,1.0,0,5,0,0,4,2,0,0,1,8,2,4,1,0,1,406,1210,0.3355
17,2025-01-20,4,3,24.0,0.0,5.0,7.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,6.0,4.0,1,7,0,0,2,3,1,0,0,6,1,0,0,2,2,300,1205,0.249
18,2025-01-21,4,2,22.0,0.0,7.0,11.0,0.0,0.0,0.0,27.0,0.0,2.0,2.0,0.0,0.0,1.0,1,6,0,0,2,4,0,0,0,7,2,2,0,0,1,300,1690,0.1775
19,2025-01-22,3,1,16.0,0.0,10.0,12.0,0.0,0.0,9.0,29.0,0.0,4.0,0.0,1.0,0.0,2.0,0,4,0,0,2,3,0,0,2,6,2,0,1,0,1,231,1120,0.2062
20,2025-01-23,3,3,23.0,0.0,18.0,10.0,0.0,0.0,3.0,23.0,0.0,2.0,1.0,0.0,0.0,1.0,1,6,0,0,6,4,0,0,1,6,2,1,0,0,1,378,1610,0.2348
21,2025-01-24,3,2,16.0,0.0,9.0,10.0,0.0,0.0,0.0,25.0,0.0,4.0,12.0,0.0,0.0,1.0,1,5,0,0,3,3,0,0,0,6,2,8,0,0,1,406,1710,0.2374
22,2025-01-25,3,2,14.0,0.0,7.0,7.0,0.0,0.0,3.0,28.0,0.0,3.0,15.0,0.0,0.0,1.0,0,5,0,0,2,2,0,0,1,5,2,6,0,0,1,300,1500,0.2
23,2025-01-26,3,2,23.0,0.0,15.0,14.0,0.0,0.0,4.0,28.0,0.0,4.0,1.0,1.0,0.0,1.0,1,6,0,0,4,4,0,0,1,8,2,4,1,0,1,496,1460,0.3397
24,2025-01-27,4,3,26.0,0.0,6.0,10.0,0.0,0.0,6.0,28.0,0.0,3.0,0.0,0.0,8.0,7.0,1,13,0,0,6,7,1,0,4,20,4,11,1,2,2,1368,4580,0.2987
25,2025-01-28,2,3,17.0,0.0,4.0,13.0,0.0,0.0,3.0,22.0,0.0,1.0,2.0,0.0,0.0,2.0,1,5,0,0,2,4,0,0,1,9,2,2,0,0,2,378,1330,0.2842
26,2025-01-29,2,2,12.0,0.0,9.0,15.0,0.0,0.0,4.0,20.0,0.0,2.0,2.0,0.0,0.0,1.0,1,4,0,0,2,4,0,0,2,7,2,2,0,0,1,300,1270,0.2362
27,2025-01-30,4,1,12.0,0.0,7.0,7.0,0.0,5.0,0.0,19.0,0.0,2.0,2.0,0.0,0.0,1.0,0,5,0,0,3,3,3,3,0,5,2,3,0,0,1,325,1560,0.2083
28,2025-01-31,5,2,30.0,0.0,6.0,8.0,0.0,0.0,0.0,23.0,0.0,4.0,5.0,0.0,0.0,2.0,1,7,0,0,2,2,0,0,0,6,2,4,0,0,1,300,1340,0.2239
