fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year_x,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido,day,month,year_y,region,titulo,subtitular,contraportada,id
2022-01-02,3.2,0.8,23.2,1310.0,56.52,3.47,4.07,2.5,3.0,0.0,0.8,3.7,1.6,0.6,0.0,0.4,2.1,0.8,4.6,2.2,3.0,1.4,0.2,0.4,7.2,1.8,0.4,0.0,0.2,1.8,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,94993.0,93185.0,11937.0,81248.0,Tuesday,February,2022.0,nacional,arde trailer,chofer se salva de siniestro en el km 222 concepcion las minas chiquimula,deporte,020122nacional
2022-01-03,2.0,3.0,30.0,1740.0,58.0,3.4,4.33,1.75,3.0,0.0,0.0,4.1,2.0,3.0,0.0,2.5,2.0,1.0,5.0,3.0,4.0,1.0,0.0,0.0,10.0,2.0,1.0,0.0,2.0,2.0,2022.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,110810.0,108409.0,6740.0,101669.0,Tuesday,March,2022.0,nacional,2 chapines bajo fuego ruso,cuentan a nuestro diario como sobrevivieron a los ataques en ucrania,deporte,030122nacional
2022-01-04,2.0,3.0,27.0,1700.0,62.96,3.4,3.67,1.75,2.0,0.0,0.0,3.8,0.5,0.0,0.0,0.0,2.5,1.0,5.0,3.0,4.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,97543.0,95151.0,8336.0,86815.0,Friday,April,2022.0,nacional,combate a mareros en la frontera,persecucion ha empujado a los pandilleros de barrio 18 a huir a guatemala,deporte,040122nacional
2022-01-05,2.0,3.0,27.0,1410.0,52.22,5.2,3.67,3.0,5.0,0.0,0.0,3.22,1.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,96234.0,93842.0,14682.0,79160.0,Sunday,May,2022.0,nacional,turba evita violacion de nina,la amenazaba con un desarmador para llevarsela,publicidad externa,050122nacional
2022-01-06,3.0,2.0,22.0,1250.0,56.82,3.0,4.0,3.33,2.0,0.0,0.0,3.62,1.0,0.0,0.0,0.0,2.5,1.0,5.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,2022.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,96254.0,93851.0,9796.0,84055.0,Wednesday,June,2022.0,nacional,cementerio de barrio 18,mareros entierran en terreno baldio de villalobos a victimas y miembros que cometen faltas en su pandilla,internacional,060122nacional
2022-01-07,3.0,1.0,17.0,980.0,57.65,3.4,4.0,0.0,4.0,0.0,0.0,3.67,1.5,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,98142.0,94139.0,7460.0,86679.0,Friday,July,2022.0,nacional,aparecen los payasitos,en paz descanses hermanos migrantes,deporte,070122nacional
2022-01-08,5.0,0.0,27.0,1340.0,49.63,4.6,3.67,2.75,3.0,0.0,0.0,4.25,1.5,2.0,0.0,0.0,2.0,1.0,5.0,3.0,4.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,2022.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,103938.0,102049.0,9393.0,92656.0,Monday,August,2022.0,nacional,niña muere aplastada por arbol,iba con su familia hacia su casa capturan a dos hombres que lo estaban talando,deporte,080122nacional
2022-01-09,3.0,2.0,30.0,1590.0,53.0,3.0,2.8,2.67,2.0,0.0,0.0,3.6,2.5,0.0,0.0,3.0,1.5,1.0,5.0,5.0,3.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,2.0,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,99735.0,97885.0,8923.0,88962.0,Thursday,September,2022.0,nacional,1217 denuncias contra violadores,los depredadores sexuales van en aumento y los menores de edad son sus principales presas eso ha llevado a que pnc reporte unas 21 capturas mensuales,deporte,090122nacional
2022-01-10,5.0,2.0,31.0,1540.0,49.68,2.8,3.0,2.25,3.5,0.0,0.0,4.73,2.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,0.0,11.0,2.0,1.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,105566.0,103170.0,7036.0,96134.0,Saturday,October,2022.0,nacional,recibidas entre llantos y homenajes,cientos de personas de patachaj salieron al encuentro de olga y hellen quienes murieron cuando cayo vehiculo en el agujero en villa nueva,deporte,100122nacional
2022-01-11,0.0,0.0,1.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,95624.0,93032.0,8174.0,84858.0,Tuesday,November,2022.0,nacional,los difuntos perdidos,algunas tumbas de los fallecidos por covid 19 solo cuentan con numeros otras con cruces,deporte,110122nacional
