id,titulo,subtitular,categoria
010222nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso",Comunidades
010322nacional,campeon historico,los toros suman su primer titulo de liga nacional,Deporte
010322occidente,invierten en obras,cuatro comunidades de san pedro sacatepequez se beneficiaran con los trabajos,Comunidades
010322centro,abarrotan balneario,los aposentos recibe a cientos de chimaltecos y visitantes el fin de semana,Comunidades
010322sur,caen en hondonada,percance vial en santa maria el naranjo coatepeque deja un fallecido y a un joven lesionado,Accidentes Viales
010322norte,aumenta turismo,comercio mejora ventas en el malecon san andres,Comunidades
010322oriente,refugio de indigentes,personas aprovechan antigua carcel y sede de diprona que esta abandonada en zacapa,Comunidades
010322guate,piden paciencia,"el trafico se complica mientras avanza la construccion de paso a desnivel en san miguel petapa, donde agentes regulan el paso",Comunidades
010422nacional,arde ensambladora,se destruyen miles de motos en amatitlan,Comunidades
010422occidente,"hasta siempre, tico","conmocion en marquense por la muerte de marcos menaldo, aparentemente por paro cardiaco",Comunidades
010422centro,mejoran empedrado,comuna antiguena sugiere hacer uso de vias alternas por trabajos en la 4a. calle oriente de la 1a. a la 4a. avenida,Comunidades
010422sur,reciben a sus heroes,aficion celebra el primer titulo de liga nacional de malacateco,Deporte
010422norte,operativos contra maleantes,"agentes han hecho capturas e incautado droga, en flores",Comunidades
010422oriente,atacado en su casa,"delincuentes machetean a juan felipe cuando descansaba, en quezaltepeque",Comunidades
010422guate,quedan heridos,"brindan asistencia a victimas de accidente de transito en el canton las quebraditas, de san pedro ayampuc",Accidentes y Tragedias
010522nacional,balean albaniles,"sicarios los esperaban en esquina del centro de gualan, zacapa",Criminalidad y Violencia
010522occidente,exigen boleto de ornato,"largas filas en huehuetenango para pagar arbitrio, que es obligatorio para tramites",Deporte
010522centro,asumen cargo,"autoridades indigenas de sacala las lomas, san martin julotepeque, mediaran en conflictos",Inseguridad y Conflictos
010522sur,comienzan inscripciones,mayoria de planteles privados de jalapa empezaran clases el 17 de enero en modalidad virtual,Comunidades
010522norte,sube el maiz,"comerciantes preven baja en las ventas y escasez del grano, en flores",Comunidades
010522oriente,aplican refuerzo,vecinos comienzan a recibir tercera dosis de vacuna anticovid-19 en zacapa,Comunidades
010522guate,pierde el ojo,"victima de explosion queda internada en centro asistencial capitalino, en donde se preve que sea intervenido quirugicamente",Comunidades
010622nacional,feliz dia de reyes,-,Comunidades
010622occidente,despiden a menaldo,"marcos visito por ultima vez el marquesa de la ensenada, su casa deportiva",Comunidades
010622centro,obra inconclusa,"buscan recuperar hospital materno infantil abandonado hace 12 anos, en san martin jilotepeque",Educacion y Salud Comunitaria
010622sur,arrollan a fotografo,vehiculo deja lesionado a victor salas en la zona 2 de coatepeque,Comunidades
010622norte,comienzan festejos,"catolicos participan en bajada del cristo negro, previo a la feria patronal, en flores",Comunidades
010622oriente,usan vias alternas,"cambio de tuberias en la calzada de los ganaderos, zacapa, durara dos meses",Comunidades
010622guate,atacados a balazos,"con multiples impactos, desconocidos le arrebatan la vida a un joven que compartia con amigos en la zona 5 capitalina",Comunidades
010722nacional,mueren madre e hijo,picop impacta contra camion en chiquimula,Comunidades
010722occidente,aplican refuerzos,reducen intervalos entre segunda y tercera dosis contra el covid en san cristobal totonicapan,Comunidades
010722centro,asumen lideres comunitarios,juramentan a alcaldes auxiliares de 85 comunidades de tecpan guatemala,Comunidades
010722sur,machetean a campesino,desconocidos sale al paso de victima y la hieren en la cabeza en nuevo chuatuj coatepeque,Comunidades
010722norte,alza en la canasta basica,comerciantes se quejan en el mercado central de los amates,Comunidades
010722oriente,retoman estudios,centros educativos privados de zacapa comenzaran clases la proxima semana,Comunidades
010722guate,agradecen proteccion,"autoridades y vecinos ruegan por sabiduria y bendiciones ante los cristos de coronacion y san bernardo, en san pedro sacatepequez",Comunidades
010822nacional,balean a policias,nuevo ataque contra fuerzas de seguridad deja un agente muerto y 27 heridos,Seguridad y Bienestar
010822occidente,llegan insumos al sistema de salud,autoridade preven enfrentar aumento de contagios por covid-19 en totonicapan,Seguridad y Bienestar
010822guate,muere a balazos,"conductor de tuctuc fue atacado por hombres que se hicieron pasar por pasajeros en cipresales, zona 6 capitalina",Comunidades
010922nacional,acribillado,persiguen a mototaxista en la avenida juan chapin en la capital,Comunidades
011022nacional,masacre en mercado,matan a cuatro comerciantes y hieren a otro en chimaltenango,Comunidades
011022occidente,investigan obra,"vecinos temen que alcaldia este vendiendo bienes municipales, en comitancillo",Comunidades
011022centro,regularan ruido,transito de jocotenango busca reducir contaminacion auditiva,Comunidades
011022sur,arrollan a predicador,septuagenario herido caminaba a orillas de la carretera al pacifico en colombia,Accidentes Viales
011022norte,asistencia masiva,"habilitan centros de vacunacion en san francisco peten, para dosis de refuerzo contra el covid-19",Comunidades
011022oriente,peligro en cruce,temen por semaforo en mal estado en la zona 4 en chiquimula,Riesgos y Emergencias
011022guate,empieza obra,en la calle y avenida petapa construyen un paso a desnivel que pretende agilizar el transito en el sur de la ciudad,Comunidades
011122nacional,llevaban droga y balas de fusil,capturan a mareros cerca del centro preventivo de la zona 18 de la capital,Comunidades
011122occidente,reparan centros educativos,"se preparan para empezar el ciclo escolar, en san marcos",Comunidades
011122centro,cobran nueva tarifa,aplican reglamento para hacer uso de la via publica en la antigua guatemala,Comunidades
011122sur,exigen seguridad,asesinato de chofer en la zona 2 causa zozobra en coatepeque,Seguridad y Bienestar
011122norte,rechazan seguro,transportistas peteneros buscan que se derogue acuerdo y advierten de paro nacional,Comunidades
011122oriente,delimitan espacios,ordenan area comercial por la feria de esquipulas,Comunidades
011122guate,queda herido,"desconocidos atacan a balazos a joven que compraba comida en la colonia castillo lara, zona 7 capitalina",Accidentes y Tragedias
011222nacional,chocan de frente,conductor de automovil perece en zacapa,Comunidades
011222occidente,reparan calle,cambian tuberia y mejoran adoquinado de via que lleva al centro de san francisco el alto,Comunidades
011222centro,adoquinan calle,vecinos de la zona 2 de chimaltenango reunen 1500 mil para impulsar obra con apoyo de la comuna,Comunidades
011222sur,mejoran calle,"vecinos del canton tejeria, en catarina. trabajan con apoyo de migrante en ee.uu.",Comunidades
011222norte,evitaran desborde,"vecinos de quebrada seca, en puerto barrios, piden dragar rio",Comunidades
011222oriente,regresan a clases,centros educativos privados de zacapa aplican protocolos sanitarios preventivos,Comunidades
011222guate,disparan sin piedad,"padrastro e hijastro son asesinados cuando iban a comprar a la tienda, en la colonia los planes, zona 5 de villa nueva",Comunidades
011322nacional,juegazo,el real elimina al barsa en tiempos extra en la supercopa,Comunidades
011322occidente,aumentan casos de covid-19,san pedro sacatepequez pasa de alerta amarilla a anaranjada en semaforo epidemologico,Comunidades
011322centro,reinician servicio,hacen conexion con apoyo de la policia tras oposicion de grupo de vecinos de san martin de jilotepeque,Comunidades
011322sur,llego de visita,"arrollan a mujer en la calle real del comercio, en pajapita",Comunidades
011322norte,ofrecen oportunidades,organizan feria del empleo en flores,Comunidades
011322oriente,preocupa escasez,comunitarios de zacapa esperan conclusion de cuatro pozos de agua,Comunidades
011322guate,obra continua,"instituto tecnologico, en la aldea mejia, en san juan sacatepequez podria estar listo en seis meses",Comunidades
011422nacional,repatrian cuerpos de migrantes,victimas perecieron en accidente en mexico,Accidentes y Tragedias
011422occidente,velan a padre y a sus dos hijas,hoy daran sepultura en san cristobal totonicapan a victimas de accidente ocurrido en xela,Accidentes y Tragedias
011422centro,exigen seguridad,locatarios del mercado de la antigua guatemala denuncian robos,Seguridad y Bienestar
011422sur,reparan calle,"via en san isidro se encuentra en el abandono desde hace 30 anos, en cotapeque",Comunidades
011422norte,se quejan de alza,"amas de casa crucenas senalan que canasta basica aumenta, y no pueden comprar mas",Comunidades
011422oriente,honran al cristo negro,vecinos y visitantes celebran este fin de semana en esquipulas,Comunidades
011422guate,sicarios iban en moto,"edwin moises alvarado conducia su vehiculo cuando fue asesinado en la avenida del cementerio, en la zona 3",Criminalidad y Violencia
011522nacional,vivos de milagro,desemprendimiento de paredon cae sobre dos albaniles en mixco,Comunidades
011522occidente,sepultan a padre e hijas,victimas fallecieron en accidente en xela,Accidentes y Tragedias
011522guate,intenta defenderse,"michael ovando discute con hombres y luego lo asesinan en la colonia montserrat I, zona 4 de mixco",Comunidades
011622nacional,veneran al cristo negro,fieles hacen romeria a la basilica de esquipulas,Comunidades
011722nacional,camionetazo,"bus cae en barranco y perecen 5 pasajeros, en sumpango, sacatepequez",Comunidades
011722occidente,cantan los gallos,"shecanos consiguen sus primeros tres puntos en el inicio del torneo clausura, en san pedro sacatepequez",Deporte
011722centro,estudiaran en casa,alumnos continuaran recibiendo clases de forma virtual en la antigua guatemala,Comunidades
011722sur,empieza la ilusion,"cotapeque gana 1-0 en casa a xinbajul, en el inicio del clausura 2022",Comunidades
011722norte,despiden a migrante,"rodrigo bol acepto irse al norte, al ser convencido que pagaria despues y murio en mexico",Comunidades
011722oriente,se lucen en casa,sanarate fc comienza torneo con triunfo 1-0 frente a comunicaciones,Deporte
011722guate,rueda el balon,"aurora fc igualo frente a sacachispas, en el partido que abrio el torneo clausura 2022 de la primera division",Deporte
011822nacional,abren juicio contra perez y baldetti,exfuncionarios son acusados de recibir sobornos millonarios en el caso la linea,Comunidades
011822occidente,avanza proyecto,asfaltan tramo carretero que conduce de aldea rancho de teja hacia momostenango,Comunidades
011822centro,atacado en robo,"antonio morales fue enganado y agredido con la cacha de una pistola, en la antigua guatemala",Crimenes
011822sur,carro lo arrolla,"auto impacta vehiculo que conducia menor, quien quedo herido en la calzada, alvaro arzu, en coatepeque",Accidentes y Tragedias
011822norte,bloquean carretera,vecinos protestan en el km 204 por constantes apagones que afectan sus negocios,Accidentes Viales
011822oriente,iban a su casa,"madre iba junto a su hijo y queda herida al ser arrollados en la reforma, zacapa",Comunidades
011822guate,esperan acuerdo,"inquilinos del mercado municipal siguen sin firmar contrato de arrendamiento de puestos, en san raymundo",Comunidades
011922nacional,mareros siembran terror en las trojes,pobladores cierran comercios tras masacre de cuatro personas en amatitlan,Comunidades
011922occidente,reparan ruta hacia la frontera,"comienzan trabajos para mejorar la red vial en huehuetenango, por presion de transportistas",Comunidades
011922centro,tendran brigada forestal,"capacitan a socorristas para atender siniestros en bosques, en chimaltenango",Comunidades
011922sur,reparan calle,"vecinos de la esperanza, en coatepeque, mejoran 900 metros de su acceso principal",Comunidades
011922norte,exigen iluminacion,"residentes del caserio placa 1, en entre rios, senalan que transitar a oscuras causa tragedias",Accidentes y Tragedias
011922oriente,agua se contamina,basura que arrastra el canal de riego de zacapa afecta a vecinos de el mitch y la fragua,Comunidades
011922guate,lo dejan atado,"encuentran cuerpo de un hombre con senales de violencia en el km 22 de la carretera al pacifico, villa nueva",Accidentes Viales
012022nacional,estalla coheteria,"muere una persona y otras dos quedan heridas, en parravos, chimaltenango",Comunidades
012022occidente,construiran hospital,atencion sera para pacientes con problemas visuales y auditivos en chiantla,Educacion y Salud Comunitaria
012022centro,aumentan cobro,tasa municipal sera mas alta para duenos de comercios que cierren despues de las 800 pm,Comunidades
012022sur,cerdo se atraveso,"conductor herido de gravedad luego de percance vial en san vicente pacaya, coatepeque",Accidentes Viales
012022norte,asesinan a empleado municipal,ataque ocurrio cuando compraba en una carniceria en la cabecera de sayaxche,Comunidades
012022oriente,muere arrollado,tragio accidente de adulto mayor ocurrio en esquipulas,Accidentes y Tragedias
012022guate,solo quedan recuerdos,"demolicion del estadio del ejercito, sede de infinidad de eventos deportivos y de todo tipo, causa nostalgia",Comunidades
012122nacional,atacan a choferes,mareros disparan a mansalva contra tres tuctuqueros en la zona 18 de la capital,Comunidades
012122occidente,doloroso recuerdo,"a un ano de la masacre de migrantes en tamaulipas, mexico, familiares honran a sus seres queridos",Comunidades
012122centro,muere padre e hijo,"ambos limpiaban camion cuando se desconecto y los prenso, en santa maria de jesus",Comunidades
012122sur,fallece camino a hospital,conductor fue victima de colision contra camion en coatepeque,Educacion y Salud Comunitaria
012122norte,exigen reparacion,comunitarios crucenos piden compromiso de autoridades para mejorar tramo hacia la tecnica,Comunidades
012122oriente,exigen semaforos,aparatos de la zona 1 de chiquimula llevan mas de 15 dias apagados,Comunidades
012122guate,avanza obra,"comuna y cocode trabajan en la construccion de drenajes y planta de tratamiento en la aldea la cienaga, en san raymundo",Comunidades
012222nacional,se entrega exministro que tenia q122 millones,jose luis benito esta acusado de fraude y lavado de dinero,Crimenes
012222occidente,puente podria colapsar,"exigen reparacion de estructura, que comunica a las zonas 1 y 6, en huehuetenango",Proyectos de Infraestructura
012222guate,arde fabrica,"miles de quetzales en perdidas dejo un siniestro ocurrido en ciudad quetzal, san juan sacatepeque",Comunidades
012322nacional,pnc salva a matones y turba se enfurece,"un hombre y una menor balean a vecino, grupo los queria linchar, en palin",Comunidades
012422nacional,entro a callejon sin salida,mujer intento escapar de sicarios en mixco,Criminalidad y Violencia
012422occidente,tendran agua potable,familias de dos parajes de san francisco el alto se beneficiaran con proyecto,Comunidades
012422centro,vacunan en mercado,area de salud de chimaltenango espera inmunizar al 100 de los comerciantes en la terminal,Seguridad y Bienestar
012422sur,agonica estocada,"plataneros vence 2 1 a coatepeque en el ultimo minuto, en la blanca",Comunidades
012422norte,superan el examen,"heredia gana partido de fogueo, de cara al clausura 2022 en la segunda division",Deporte
012422oriente,penal de la victoria,csd zacapa tellioz se impone a sanarate en el david ordonez bardales,Comunidades
012422guate,dan golpe de autoridad,"comunicaciones b firma la goleada de la segunda fecha del torneo, en la primera division, al doblegar a chimaltenango",Deporte
012522nacional,rechazan seguro,"bloquean el pais, causando perdidas bebe nace en protesta de huehuetenango",Comunidades
012522occidente,invertiran q30 millones,"adjudican presupuesto para educacion, salud y obra gris en san marcos",Seguridad y Bienestar
012522centro,suspenden procesion,hermandad de jesus nazareno de la aldea santa ines de la antigua solo hara velacion,Comunidades
012522sur,choca contra muro,conductora pierde el control luego de que auto la impactara en coatepeque,Comunidades
